#name,type,initiative,label,min,default,max
sinscales,boss,false,,,,
ammes,boss,false,,,,
tanker,boss,false,,,,
sahagins,boss,false,,,,
geosgaeno,boss,false,,,,
klikk_1,boss,false,,,,
klikk_2,boss,false,,,,
piranhas,boss,false,,,,
tros,boss,false,,,,
wakka_tutorial,boss,false,,,,
elements_tutorial,boss,false,,,,
kimahri,boss,false,,,,
garuda_1,boss,false,,,,
garuda_2,boss,false,,,,
besaid_forced_encounter,boss,false,,,,
sin_fin,boss,false,,,,
echuilles,boss,false,,,,
lancet_tutorial,boss,false,,,,
lord_ochu,optional_boss,false,Lord Ochu (Way In),0,0,1
geneaux,boss,false,,,,
lord_ochu,optional_boss,false,Lord Ochu (Way Out),0,0,1
machina_1,boss,false,,,,
machina_2,boss,false,,,,
machina_3,boss,false,,,,
oblitzerator,boss,false,,,,
sahagin_chiefs,boss,false,,,,
vouivre,boss,false,,,,
garuda,boss,false,,,,
pierce_tutorial,boss,false,,,,
chocobo_eater,boss,false,,,,
sinspawn_gui_1,boss,false,,,,
sinspawn_gui_2,boss,false,,,,
extractor,boss,false,,,,
rikku_tutorial,boss,false,,,,
spherimorph,boss,false,,,,
crawler,boss,false,,,,
seymour,boss,false,,,,
guado_encounter,optional_boss,false,Guado Encounter,0,0,2
wendigo,boss,false,,,,
zu,boss,false,,,,
machina_steal_tutorial,boss,false,,,,
sandragora,optional_boss,true,Sandragora,0,0,5
guado_+_3_bomb,boss,true,,,,
guado_+_2_dual_horn,boss,true,,,,
guado_+_2_chimera,boss,true,,,,
evrae,boss,false,,,,
bevelle_guards_1,boss,false,,,,
bevelle_guards_2,boss,false,,,,
bevelle_guards_3,boss,false,,,,
bevelle_guards_4,boss,false,,,,
bevelle_guards_5,boss,false,,,,
isaaru_grothia,boss,false,,,,
isaaru_pterya,boss,false,,,,
isaaru_spathi,boss,false,,,,
evrae_altana,boss,false,,,,
seymour_natus,boss,false,,,,
defender_x,boss,true,,,,
biran_&_yenke,boss,false,Biran & Yenke,,,
seymour_flux,boss,true,,,,
sanctuary_keeper,boss,true,,,,
spectral_keeper,boss,false,,,,
yunalesca,boss,false,,,,
left_fin,boss,false,,,,
right_fin,boss,false,,,,
sin_core,boss,false,,,,
overdrive_sin,boss,false,,,,
seymour_omnis,boss,false,,,,
